name,lat,lon
Heathrow Terminal 5 Station,51.470045,-0.490564
Wood Lane Station,51.509714,-0.224487
King George V Station,51.502006,0.062377
London City Airport Station,51.503524,0.048655
Pontoon Dock Station,51.502163,0.032358
West Silvertown Station,51.502884,0.022301
Woolwich Arsenal Station,51.489846,0.069308
